Test Loss: 1.6084	Test accuracy: 0.7343
Test Loss: 1.4906	Test accuracy: 0.7439
Test Loss: 1.3943	Test accuracy: 0.7502
Test Loss: 1.3862	Test accuracy: 0.7394
Test Loss: 1.5033	Test accuracy: 0.7382
Test Loss: 1.8517	Test accuracy: 0.6986
Test Loss: 1.4464	Test accuracy: 0.7466
Test Loss: 1.8704	Test accuracy: 0.7029
Test Loss: 1.8053	Test accuracy: 0.7139
Test Loss: 1.3826	Test accuracy: 0.7516


Test Loss: 1.6298	Test accuracy: 0.7062
Test Loss: 1.7228	Test accuracy: 0.6923
Test Loss: 1.7588	Test accuracy: 0.6960
Test Loss: 1.3875	Test accuracy: 0.7390
Test Loss: 1.4953	Test accuracy: 0.7276
Test Loss: 1.7578	Test accuracy: 0.6907
Test Loss: 1.3620	Test accuracy: 0.7390
Test Loss: 1.5643	Test accuracy: 0.7169
Test Loss: 1.4772	Test accuracy: 0.7227
Test Loss: 1.5123	Test accuracy: 0.7070
